,n_extra_noise_params,loo_total_logdens,loo_mean_logdens,loo_rmse,loo_mae,extrap_low_to_high_logdens,extrap_low_to_high_rmse,extrap_low_to_high_cov95,extrap_high_to_low_logdens,extrap_high_to_low_rmse,extrap_high_to_low_cov95,corr_with_const_sd,corr_with_linear_sd,corr_with_proportional_sd,_source_selector
0,1,-249.37160026319694,-4.987432005263939,31.509744763205678,20.06950436838039,-409.85369072821425,69.45965069872646,0.36,-193.44694604154014,95.98865496923565,0.4,1.0,3.235179916846304e-16,-5.300776700348509e-16,selector
1,2,-222.7332647226758,-4.454665294453516,31.509744763205678,20.06950436838039,-164.18003544423672,69.45965069872646,0.68,-112343440031.50435,95.98865496923565,0.08,3.235179916846304e-16,1.0,0.9794191783716613,selector
2,1,-230.21370741786438,-4.6042741483572875,31.509744763205678,20.06950436838039,-143.7784312882798,69.45965069872646,1.0,-1057.6355509599723,95.98865496923565,0.2,-5.300776700348509e-16,0.9794191783716613,1.0,selector
