,d_mean,d_noise,link
0,1,0,log
1,1,1,log
2,1,1,lin
3,1,2,log
4,1,2,lin
5,2,0,log
6,2,1,log
7,2,1,lin
8,2,2,log
9,2,2,lin
10,3,0,log
11,3,1,log
12,3,1,lin
13,3,2,log
14,3,2,lin
15,4,0,log
16,4,1,log
17,4,1,lin
18,4,2,log
19,4,2,lin
