,mean_diff,sem_diff,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,bonferroni_alpha,significant_bonferroni,_source_selector
0,0.5074351501979695,0.18823754211205737,2.6957170419059895,0.009598011365176212,372.0,0.009674503529771172,0.005,False,selector
1,0.5066380934576757,0.1796740077344749,2.8197628574434295,0.006917088578228692,363.0,0.007380741603101981,0.005,False,selector
2,0.3831578569066221,0.27671598412921744,1.3846610925363088,0.17242917664247745,572.0,0.5335711137818162,0.005,False,selector
3,0.47663485764986185,0.23652581180637117,2.015149441871709,0.04939220429042369,410.0,0.027545164283727885,0.005,False,selector
4,-0.0007970567402937023,0.02561675161172891,-0.031114668728284858,0.9753044837969282,593.0,0.6736344940466168,0.005,False,selector
5,-0.12427729329134726,0.10684115722185657,-1.1631968103198695,0.2503830440794832,418.0,0.033687793845592395,0.005,False,selector
6,-0.030800292548107545,0.0848222141148776,-0.36311587559355224,0.7180801397974048,616.0,0.8407540567937097,0.005,False,selector
7,-0.12348023655105358,0.11412701406886598,-1.0819545009435165,0.28456875389486475,420.0,0.03539143616493412,0.005,False,selector
8,-0.030003235807813847,0.07898878701767895,-0.37984170843259873,0.7057043291387773,586.0,0.6253677971440439,0.005,False,selector
9,0.09347700074323972,0.09720655869305157,0.9616326511301707,0.3409557760835228,443.0,0.060701401498306495,0.005,False,selector
