,circular,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,ratio_shear_modulus,n_longerons,n_storeys,twist_angle,twist_rate_total,ratio_brace_height,ratio_a_lig,ratio_b_lig,chirality_offset
0,12.0,0.022644,0.0226666666666666,0.68,0.04,0.3677,3.0,1.0,0.0,0.5236,,,,
1,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5,0.004,0.008,0.15
2,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.6456284957937896,0.0028762785047292,0.0257763969637453,0.0215732004493475
3,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.9359461786225438,0.0127154773864895,0.028474343471229,-0.2261903844773769
4,12.0,0.0268576120655052,0.045130281604175,1.3172062961384654,0.1951567530632019,0.3677,3.0,1.0,0.0,0.6373979070391319,,,,
5,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.9359461786225438,0.0127154773864895,0.028474343471229,-0.2261903844773769
6,12.0,0.0180817355263918,0.0180998353617535,0.9616771466098726,0.7188302576541901,0.3677,3.0,1.0,0.0,1.6125038739534747,,,,
7,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.4478022444993257,0.0102888041771948,0.0198086661621928,0.254555589146912
8,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.8155269204638899,0.0186959540946409,0.0121560925282537,-0.0812699038535356
9,12.0,0.0268576120655052,0.045130281604175,1.3172062961384654,0.1951567530632019,0.3677,3.0,1.0,0.0,0.6373979070391319,,,,
10,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.9421921105124056,0.0165336375115439,0.0259460528828203,-0.085088562592864
11,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.4478022444993257,0.0102888041771948,0.0198086661621928,0.254555589146912
12,12.0,0.0168048345829751,0.0168216562392143,1.1816632896661758,0.5796908624470234,0.3677,3.0,1.0,0.0,0.1049904317034687,,,,
13,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7731365423649549,0.0042095088977366,0.0225357785001397,-0.2072027323767543
