,candidate,scheme
0,quad_ols,loo
1,const,loo
2,affine,loo
3,power,loo
4,exp,loo
5,cv,loo
6,two_term,loo
7,phys,loo
8,quad_ols,skf5x20
9,const,skf5x20
10,affine,skf5x20
11,power,skf5x20
12,exp,skf5x20
13,cv,skf5x20
14,two_term,skf5x20
15,phys,skf5x20
16,quad_ols,edges
17,const,edges
18,affine,edges
19,power,edges
20,exp,edges
21,cv,edges
22,two_term,edges
23,phys,edges
