,n_out,n_folds,n_params,mean_lpd,lpd_se,d_lpd_mean,d_lpd_se,dens_ratio,total_lpd,fold_lpd_sd,rmse,mae,cov50,cov90,width90_med,z_mean,z_sd,z_sd_lowx,z_sd_highx,pit_ks,min_sd_out,max_absz,worst_lpd,n_nonfinite_lpd,n_fit_errors,_source_selector
0,50.0,50.0,4.0,-4.9760037512459485,0.26946251277602895,0.0,0.0,1.0,-248.80018756229742,1.9053877005949678,31.509744763205678,20.06950436838039,0.64,0.92,99.37813383004136,0.005773522673490989,1.160214741376184,0.5067128756332552,1.578435385896472,0.14720394291184444,24.84541299398318,4.971180233230436,-16.487928136572123,0.0,0.0,study_selection.py (selector)
1,50.0,50.0,4.0,-4.98743200328108,0.2873292707050711,-0.011428252035132544,0.01786677180689792,0.9886368023819002,-249.37160016405403,2.03172475748941,31.509744724973373,20.069504404812687,0.62,0.92,96.28789964339788,0.005958819539021203,1.19745031606039,0.5229751662989148,1.6290932039847403,0.1431106962801211,24.072827020841217,5.130723745887571,-17.262185306382868,0.0,0.0,study_selection.py (selector)
2,50.0,50.0,5.0,-4.429416771644752,0.1740050542304433,0.546586979601195,0.17749696735331258,1.7273474735653702,-221.4708385822376,1.230401538070794,30.72489653489296,19.738587980918847,0.5,0.86,77.72520138571008,0.014483207734535654,1.0976308092370823,1.0716249394034942,1.1451665483189202,0.07625804055637764,1.6829352507100694,2.9812106383216097,-9.050408610409495,0.0,0.0,study_selection.py (selector)
3,50.0,50.0,5.0,-4.4793221925591205,0.18110880301457025,0.49668155868682734,0.1899232227999546,1.64325915379116,-223.96610962795603,1.2806326274418127,30.706901085755717,19.739291707569365,0.5,0.84,79.1192691373584,0.03400053095829466,1.1498923978751971,1.2098894360530852,1.1114347896719396,0.062471832491695356,1.4168369502125047,3.0848447562790122,-9.080810158826244,0.0,0.0,study_selection.py (selector)
4,50.0,50.0,5.0,-4.4780144789020255,0.16364979926333198,0.49798927234392243,0.21282664919338037,1.6454094719224721,-223.90072394510128,1.1571788279891932,30.609445635397044,19.773563838915145,0.5,0.86,63.32830310735983,0.00493153162627413,1.1147417950590885,1.2045791459291997,1.0419070534950188,0.067082357279037,5.63000253480136,2.762552063460279,-7.4973947610553715,0.0,0.0,study_selection.py (selector)
5,50.0,50.0,4.0,-5.354290594886246,0.6196246712472357,-0.3782868436402975,0.6660141649768254,0.6850339748420553,-267.7145297443123,4.381408068294056,30.62661361416628,19.846086446470416,0.58,0.86,104.12645685438949,0.17233010849402886,1.6494787668568793,2.2785601075025843,0.5960696113941786,0.07059385850588473,0.3276152445070665,8.270054703401147,-33.99992553764686,0.0,0.0,study_selection.py (selector)
6,50.0,50.0,5.0,-4.465795900013666,0.17979203133503874,0.5102078512322821,0.1894114240662841,1.665637363747424,-223.2897950006833,1.2713216456031013,30.686267453105433,19.72590816457084,0.46,0.86,75.9546695963462,0.02935112831305218,1.1412180818216118,1.2008801006598766,1.1031228595630171,0.05856854468740952,1.52654948305368,2.9812105550355987,-9.050408384678583,0.0,0.0,study_selection.py (selector)
7,50.0,50.0,4.0,-4.448276658533775,0.18189332834023406,0.5277270927121727,0.194281613906367,1.6950751781033244,-222.41383292668877,1.2861800592197072,30.514695865653756,19.652371091302243,0.52,0.86,75.98279862542529,0.014542505032381017,1.1250430160291018,1.174485618847198,1.0976027901738366,0.07137791120726211,1.5407131679617745,2.945107668622619,-8.891980259414877,0.0,0.0,study_selection.py (selector)
8,1000.0,100.0,4.0,-4.978001558663538,0.059861732761914505,0.0,0.0,1.0,-4978.001558663538,0.4819433581123526,31.874834285161572,20.30136315790288,0.652,0.906,100.05071420127085,0.0035077997906106696,1.1607032615750923,0.5085864252742305,1.561569579348186,0.12164133275520603,23.55943871715089,5.262788427854726,-17.93771523853583,0.0,0.0,study_selection.py (selector)
9,1000.0,100.0,4.0,-4.993584185280219,0.06477831543699247,-0.015582626616679555,0.004922005558715009,0.9845381543341571,-4993.584185280219,0.5288521491532436,31.87483427932766,20.301363161491413,0.646,0.906,96.2256957935736,0.0036472434324665297,1.2068417857414298,0.5288029856801626,1.6236427361792536,0.11532180459003225,22.658742599722043,5.471986838020307,-19.021583427897056,0.0,0.0,study_selection.py (selector)
10,1000.0,100.0,5.0,-4.441622068773344,0.03913131223426417,0.5363794898901947,0.03822663658944401,1.709805275220221,-4441.622068773344,0.2598755120345133,31.08431172033319,19.920619737168938,0.495,0.849,77.88819576631451,0.017704206710917447,1.1064044523034517,1.0701855374109315,1.1425184398011003,0.04618985709790205,1.4892738184334422,3.2241183596659146,-9.760665355052689,0.0,0.0,study_selection.py (selector)
11,1000.0,100.0,5.0,-4.484337005103367,0.04001244455678166,0.49366455356017225,0.04091943640598846,1.6383089037195675,-4484.337005103366,0.27618843578618224,31.062780635825842,19.92064154909468,0.488,0.836,78.61496034154234,0.03260155634622598,1.1517467149054166,1.1956064569716416,1.1070622211716203,0.040102652429441846,1.063702109098351,3.258529970086338,-9.745539292052786,0.0,0.0,study_selection.py (selector)
12,1000.0,100.0,5.0,-4.478738540579681,0.03731190908252594,0.4992630180838579,0.04618209683214865,1.6475066405740586,-4478.738540579681,0.24874297953199304,30.946951612008863,19.907988224003333,0.522,0.845,63.192220014069406,0.008252762995878805,1.1144350734028559,1.1807314075430393,1.0450251861984194,0.0513608723390695,4.242100261255389,3.063738089798984,-8.81443476459295,0.0,0.0,study_selection.py (selector)
13,1000.0,100.0,4.0,-5.604394951534336,0.20897858852191112,-0.626393392870797,0.21654114538601005,0.534516118435945,-5604.394951534336,1.9021381118532232,31.0089302881932,20.19772577452534,0.572,0.874,102.5503703263856,0.190890813622238,1.7878521663551468,2.4541050259613963,0.6039710522560215,0.05978687784304959,0.26025957846276065,12.782469795476292,-81.2686298020243,0.0,0.0,study_selection.py (selector)
14,1000.0,100.0,5.0,-4.471808868916586,0.03987291261535068,0.506192689746953,0.04113639794913617,1.6589629691089063,-4471.808868916586,0.2674051846108955,31.04204089548236,19.9161405535882,0.483,0.838,75.5115186392369,0.028914830473362952,1.1429858262525343,1.187157951276853,1.0981852438902318,0.0412344958964157,1.3316706687672626,3.2827882560452726,-9.423161363300737,0.0,0.0,study_selection.py (selector)
15,1000.0,100.0,4.0,-4.44104444836853,0.040656841344552455,0.5369571102950095,0.04250229884409392,1.7107931789246495,-4441.04444836853,0.27052227119600414,30.834211370837885,19.805731838505213,0.519,0.845,75.68560199937717,0.010438446035165283,1.1138271536543425,1.1367633936563557,1.0915328645661175,0.04978996498836097,1.367714709267683,3.2504740604927416,-9.259718816184131,0.0,0.0,study_selection.py (selector)
16,10.0,1.0,4.0,-5.621353259695331,1.0299485157761954,0.0,0.0,1.0,-56.213532596953314,,43.33518539682653,25.75340836801916,0.6,0.8,83.02926697804294,0.07362567039965978,1.8081972466307177,0.09438616655274706,2.6595722675945233,0.2639389304421715,25.239105053963726,4.498571806081792,-14.26590726003612,0.0,0.0,study_selection.py (selector)
17,10.0,1.0,4.0,-5.701887636006115,1.1134578548931846,-0.08053437631078264,0.08350933911698909,0.9226231866572044,-57.01887636006114,,43.33518539682653,25.75340836801916,0.6,0.8,79.85499193408509,0.07655232686137751,1.8800739728755955,0.09813806290545772,2.765291567943287,0.266457345354422,24.274193954293125,4.6773922388643125,-15.04735142015832,0.0,0.0,study_selection.py (selector)
18,10.0,1.0,5.0,-9.232540812919266,2.5272802142044855,-3.6111875532239353,2.825461036410404,0.02701974042621738,-92.32540812919267,,44.085941888770336,29.868964716727753,0.2,0.3,71.23103259606151,-2.114858356282169,2.854115676740442,1.9991274990485572,1.7082882876992767,0.5764751161079507,1.5329342623329385,7.760907132303621,-31.461962008581835,0.0,0.0,study_selection.py (selector)
19,10.0,1.0,5.0,-25.281110674682346,14.021886882621647,-19.659757414987016,14.270693282635612,2.8965153816284985e-09,-252.81110674682344,,44.95613397387905,31.695598600308017,0.2,0.3,79.752093493505,-4.065347662662674,5.542270283823697,5.269747658083879,1.4578025370639192,0.5650368989789715,0.8393463131019023,17.248850094967768,-149.5052214437527,0.0,0.0,study_selection.py (selector)
20,10.0,1.0,5.0,-4.778718724764764,0.2966659551157362,0.8426345349305666,0.8091282151415646,2.322477572247679,-47.787187247647644,,43.737304844550316,28.76432656204171,0.3,0.8,103.51354376619072,-0.775714780948608,1.1307805296945654,0.15304238225700173,1.1158613308452174,0.49599368050402937,5.675013705834561,1.8246178274536826,-6.547465237862362,0.0,0.0,study_selection.py (selector)
21,10.0,1.0,4.0,-13.314567983766262,2.929380158067391,-7.69321472407093,3.4639903481794607,0.00045591018796248636,-133.1456798376626,,47.51307632325737,34.737345000082975,0.3,0.5,117.97220091435243,-3.1711749992782368,3.2449656728592067,1.0207759761306325,0.9390769757495256,0.5049101526606075,2.1846782234926567,7.833076654162927,-32.37895201976755,0.0,0.0,study_selection.py (selector)
22,10.0,1.0,5.0,-11.845376468399355,4.172010484919814,-6.224023208704026,4.484808160992623,0.001981258146192911,-118.45376468399355,,44.50376321149001,30.80728926132084,0.3,0.3,82.75545329069223,-2.6231414704622997,3.3475324063702727,2.5868502386211043,1.4075019242607236,0.554894535872937,1.3355405551360495,9.72560722983592,-48.501992647835486,0.0,0.0,study_selection.py (selector)
23,10.0,1.0,4.0,-4.246747405605934,0.6714020028698806,1.3746058540893966,0.5707893834331251,3.953518152776317,-42.46747405605934,,43.95591978949255,24.795001239448602,0.3,0.8,74.22660159005726,-0.2771213245769423,1.365877448412437,0.5485709173460557,1.6002247488898673,0.27361394824922664,1.5855326884073273,2.9415509403798694,-8.956791338934984,0.0,0.0,study_selection.py (selector)
