,x
0,3.0
1,43.0
2,63.0
3,23.0
4,33.0
5,73.0
6,53.0
7,13.0
8,18.0
9,58.0
10,78.0
11,38.0
12,28.0
13,68.0
14,48.0
15,8.0
16,10.5
17,50.5
18,70.5
19,30.5
20,40.5
21,80.5
22,60.5
23,20.5
24,15.5
25,55.5
26,75.5
27,35.5
28,25.5
29,65.5
30,45.5
31,5.5
32,6.75
33,46.75
34,66.75
35,26.75
36,36.75
37,76.75
38,56.75
39,16.75
40,21.75
41,61.75
42,81.75
43,41.75
44,31.75
45,71.75
46,51.75
47,11.75
48,9.25
49,49.25
50,69.25
51,29.25
52,39.25
53,79.25
54,59.25
55,19.25
56,14.25
57,54.25
58,74.25
59,34.25
