,n_folds_ok,n_folds_failed,mean_loglik,total_loglik,sem_loglik,ci95_lo,ci95_hi,z_mean,z_std,coverage90,coverage50,mean_loglik_excl_worst_fold,prob_beats_constant,prob_best_of_5,_source_selector
0,50,0,-4.987432005263944,-249.37160026319722,0.28732927261241437,-5.629515607554296,-4.546175433731639,0.005958816338211836,1.1974503171977737,0.92,0.62,-4.736926833715696,,0.0003,selector
1,50,0,-4.479996855065975,-223.99984275329876,0.19178735350592563,-4.880045832078011,-4.12511673451036,-0.0020112361629162955,1.1556169258707605,0.84,0.52,-4.371257161444493,0.9995,0.3684,selector
2,50,0,-4.48079391180627,-224.03969559031347,0.1953500783493207,-4.87765941888166,-4.118613509309075,0.004929272937822408,1.1511055341858665,0.84,0.5,-4.363439982703681,0.9995,0.2934,selector
3,50,0,-4.604274148357323,-230.21370741786615,0.1828307442920607,-4.957231354411182,-4.2468121258246985,-0.008382833797235017,1.037959287876414,0.92,0.6,-4.560517814015568,0.9361,0.0626,selector
4,50,0,-4.510797147614084,-225.53985738070418,0.16945996825333362,-4.847221476849493,-4.186960860327891,0.01675971015653214,1.1447204244647884,0.84,0.5,-4.449637310349668,0.9906,0.2753,selector
